index;Latitude;Longitude;gares_id;nom_gare;nomlong;ligne;x;y;prix_moyen_2014;prix_moyen_2015;prix_moyen_2016;prix_moyen_2017;prix_moyen_2018;prix_moyen_2019;prix_moyen_global
361;48,85855383;2,342232759;674;Pont Neuf (La Monnaie);PONT-NEUF (LA MONNAIE);7;651739,5237;6862258,554;10301.3090448056;10761.7959726802;10466.3677785731;12377.863748926;12421.7836068924;11806.4708022738;11355.9318256918
279;48,87146658;2,277083017;682;Porte Dauphine;PORTE DAUPHINE;2;646972,7506;6863736,128;8942.95385335471;8909.71650383905;9288.29130553083;10084.1977292959;10506.7190448337;11618.4852337963;9891.72727844177
362;48,84797154;2,25774468;683;Porte d'Auteuil;PORTE D'AUTEUIL;10;645529,7326;6861136,866;8058.73837937069;8431.08031009076;7312.40656766571;10010.2441564252;9633.74759795113;10076.2720743187;8920.41484763705
110;48,86460037;2,408031037;684;Porte de Bagnolet;PORTE DE BAGNOLET;3;656572,0977;6862892,68;6616.70387515478;6676.87848234083;6950.27930012746;7218.30879816605;7671.87760868064;8416.22607621401;7258.37902344729
280;48,88579311;2,292582314;685;Porte de Champerret;PORTE DE CHAMPERRET;3;648123,8929;6865318,838;8241.59754359521;7950.04434464167;8487.78087599476;8870.09549200578;9576.05283435329;10077.9883362597;8867.25990447508
44;48,83316293;2,401448054;686;Porte de Charenton;PORTE DE CHARENTON;8;656062,6699;6859400,759;7033.05477473932;6427.66649379613;7106.70639040192;7537.8970192757;7980.35076916704;7787.57373776343;7312.20819752393
281;48,81987622;2,364531952;687;Porte de Choisy;PORTE DE CHOISY;7;653340,9723;6857944,605;5953.35611273883;6136.11611749024;5573.74552387549;6399.1403093581;6391.16626859493;7208.73061527482;6277.04249122207
138;48,89425226;2,313772159;689;Porte de Clichy;PORTE DE CLICHY;13;649685,9141;6866245,734;7690.2240061751;6634.12314775358;7402.37895569877;7992.93306570658;10102.883769559;9308.07873370259;8188.43694643261
139;48,89740222;2,344847749;690;Porte de Clignancourt;PORTE DE CLIGNANCOURT;4;651967,2227;6866576,642;6767.71679935289;6523.20924408787;5489.61249859155;7582.69712155705;8190.61399829541;8354.41869358398;7151.37805924479
382;48,89724529;2,359507869;691;Porte de la Chapelle;PORTE DE LA CHAPELLE;12;653041,8705;6866550,373;5605.88732539493;5693.42838291286;5492.68182657324;6900.00376259746;5420.10005127621;6977.198676048;6014.88333746712
363;48,89738989;2,385508388;692;Porte de la Villette;PORTE DE LA VILLETTE;7;654948,2026;6866551,304;5228.54588407547;5671.40703000415;5918.13104510999;6587.80096370093;7044.90093819781;8063.18863386839;6418.99574915946
364;48,85354392;2,410626426;693;Porte de Montreuil;PORTE DE MONTREUIL;9;656753,3202;6861661,865;5788.5408196239;6000.9506018548;3353.69907183345;7627.43562503084;6933.15741197149;7786.82275635711;6248.43438111193
50;48,88850369;2,392113698;694;Porte de Pantin;PORTE DE PANTIN;5;655424,858;6865559,451;6401.37904297165;6356.78794887871;6239.758555415;6571.5717068997;7375.48968578336;7610.68999508186;6759.27948917172
117;48,83796121;2,25712223;695;Porte de Saint-Cloud;PORTE DE SAINT-CLOUD;9;645473,5838;6860024,26;7421.92290910108;11628.7713658577;7224.42922218689;8118.44610734894;8363.61675802982;9545.7919089953;8717.1630452533
211;48,8973748;2,328942813;696;Porte de Saint-Ouen;PORTE DE SAINT-OUEN;13;650801,1471;6866583,384;6665.7397537499;6385.47234670884;6060.55059597638;11150.1528226208;7083.39549905713;9237.67441015262;7763.83090471096
214;48,87717482;2,406480157;697;Porte des Lilas;PORTE DES LILAS;11;656468,8342;6864291,729;5920.88052756736;5879.68781352097;5431.37863766339;6290.5123101073;6892.84161871007;7564.12837360763;6329.90488019612
119;48,87711051;2,406729246;698;Porte des Lilas;PORTE DES LILAS;M3bis;656487,0493;6864284,441;5923.57791851939;5880.98989840639;5645.1712381126;6290.25724713993;6895.90798993357;7567.24390765369;6367.19136662759
212;48,82779554;2,30553467;700;Porte de Vanves;PORTE DE VANVES;13;649016,968;6858861,614;6883.17780963856;6740.97708965325;7557.8591362119;7753.24304483345;7776.52350633386;8549.28443926091;7543.51083765532
118;48,8324491;2,288022141;701;Porte de Versailles;PORTE DE VERSAILLES;12;647736,0144;6859390,483;6941.46208455296;6492.30653756789;7859.25923311473;7897.18585733533;7444.93492973114;7824.06263167003;7409.86854566201
